Country,Subject,Year,CPI
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,116.0336
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,119.5384
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,127.7814
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,100.0008
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,100.4608
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,102.1042
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,109.905
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,117.2242
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,126.0692
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,130.2708
France,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,131.9867
Italy,CPI: 03 - Clothing and footwear,2015,99.98429
Italy,CPI: 03 - Clothing and footwear,2016,100.4583
Italy,CPI: 03 - Clothing and footwear,2017,100.8083
Italy,CPI: 03 - Clothing and footwear,2018,101.0083
Italy,CPI: 03 - Clothing and footwear,2019,101.275
Italy,CPI: 03 - Clothing and footwear,2020,102.025
Italy,CPI: 03 - Clothing and footwear,2021,102.4583
Italy,CPI: 03 - Clothing and footwear,2022,104.3833
United Kingdom,CPI: 01-12 - All items,2015,100.0
United Kingdom,CPI: 01-12 - All items,2016,101.0
United Kingdom,CPI: 01-12 - All items,2017,103.6
United Kingdom,CPI: 01-12 - All items,2018,106.0
United Kingdom,CPI: 01-12 - All items,2019,107.8
United Kingdom,CPI: 01-12 - All items,2020,108.9
United Kingdom,CPI: 01-12 - All items,2021,111.6
United Kingdom,CPI: 01-12 - All items,2022,120.5
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,99.97807
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,98.34167
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,100.0833
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,102.6333
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,103.8833
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,100.45
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,107.45
Italy,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,145.0667
France,CPI: 03 - Clothing and footwear,2015,99.99917
France,CPI: 03 - Clothing and footwear,2016,100.1908
France,CPI: 03 - Clothing and footwear,2017,100.2483
France,CPI: 03 - Clothing and footwear,2018,100.4083
France,CPI: 03 - Clothing and footwear,2019,100.1625
France,CPI: 03 - Clothing and footwear,2020,99.7125
France,CPI: 03 - Clothing and footwear,2021,99.86584
France,CPI: 03 - Clothing and footwear,2022,102.5633
France,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
France,CPI: 01 - Food and non-Alcoholic beverages,2016,100.5542
France,CPI: 01 - Food and non-Alcoholic beverages,2017,101.6475
France,CPI: 01 - Food and non-Alcoholic beverages,2018,103.6475
France,CPI: 01 - Food and non-Alcoholic beverages,2019,106.1858
France,CPI: 01 - Food and non-Alcoholic beverages,2020,108.3325
France,CPI: 01 - Food and non-Alcoholic beverages,2021,108.9983
France,CPI: 01 - Food and non-Alcoholic beverages,2022,116.9308
United States,CPI: 03 - Clothing and footwear,2015,100.0
United States,CPI: 03 - Clothing and footwear,2016,99.97731
United States,CPI: 03 - Clothing and footwear,2017,99.60408
United States,CPI: 03 - Clothing and footwear,2018,99.92992
United States,CPI: 03 - Clothing and footwear,2019,99.01496
United States,CPI: 03 - Clothing and footwear,2020,94.60566
United States,CPI: 03 - Clothing and footwear,2021,96.87054
United States,CPI: 03 - Clothing and footwear,2022,102.1163
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2016,97.6
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2017,99.8
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2018,101.9
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2019,103.3
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2020,104.0
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2021,104.3
United Kingdom,CPI: 01 - Food and non-Alcoholic beverages,2022,115.8
Germany,CPI: 03 - Clothing and footwear,2015,100.0
Germany,CPI: 03 - Clothing and footwear,2016,100.7583
Germany,CPI: 03 - Clothing and footwear,2017,101.3833
Germany,CPI: 03 - Clothing and footwear,2018,101.6583
Germany,CPI: 03 - Clothing and footwear,2019,103.0583
Germany,CPI: 03 - Clothing and footwear,2020,101.7396
Germany,CPI: 03 - Clothing and footwear,2021,103.2317
Germany,CPI: 03 - Clothing and footwear,2022,104.0455
France,CPI: 01-12 - All items,2015,99.99917
France,CPI: 01-12 - All items,2016,100.1825
France,CPI: 01-12 - All items,2017,101.2167
France,CPI: 01-12 - All items,2018,103.09
France,CPI: 01-12 - All items,2019,104.2325
France,CPI: 01-12 - All items,2020,104.7292
France,CPI: 01-12 - All items,2021,106.4492
France,CPI: 01-12 - All items,2022,112.0083
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,100.0008
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,99.88416
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,101.4825
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,103.8992
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,105.4575
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,105.24
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,109.1692
France,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,119.3425
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,100.0
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,101.5
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,105.9
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,110.5
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,114.4
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,116.8
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,119.9
United Kingdom,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,125.6
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,100.0
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,99.99167
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,101.2418
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,103.0336
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,104.9004
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,106.115
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,107.8835
Germany,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,115.7272
Germany,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
Germany,CPI: 01 - Food and non-Alcoholic beverages,2016,100.8083
Germany,CPI: 01 - Food and non-Alcoholic beverages,2017,103.5917
Germany,CPI: 01 - Food and non-Alcoholic beverages,2018,105.9583
Germany,CPI: 01 - Food and non-Alcoholic beverages,2019,107.2333
Germany,CPI: 01 - Food and non-Alcoholic beverages,2020,109.5286
Germany,CPI: 01 - Food and non-Alcoholic beverages,2021,112.9148
Germany,CPI: 01 - Food and non-Alcoholic beverages,2022,127.0988
United States,CPI: 01-12 - All items,2015,100.0
United States,CPI: 01-12 - All items,2016,101.2616
United States,CPI: 01-12 - All items,2017,103.4186
United States,CPI: 01-12 - All items,2018,105.9446
United States,CPI: 01-12 - All items,2019,107.8646
United States,CPI: 01-12 - All items,2020,109.1952
United States,CPI: 01-12 - All items,2021,114.325
United States,CPI: 01-12 - All items,2022,123.4742
Italy,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0153
Italy,CPI: 01 - Food and non-Alcoholic beverages,2016,100.2083
Italy,CPI: 01 - Food and non-Alcoholic beverages,2017,102.0917
Italy,CPI: 01 - Food and non-Alcoholic beverages,2018,103.3417
Italy,CPI: 01 - Food and non-Alcoholic beverages,2019,104.1333
Italy,CPI: 01 - Food and non-Alcoholic beverages,2020,105.5917
Italy,CPI: 01 - Food and non-Alcoholic beverages,2021,106.2
Italy,CPI: 01 - Food and non-Alcoholic beverages,2022,115.9083
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,100.0
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,102.2838
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,105.8795
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,108.6445
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,112.1764
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,116.0051
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,121.1809
United States,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,127.5685
United Kingdom,CPI: 03 - Clothing and footwear,2015,100.0
United Kingdom,CPI: 03 - Clothing and footwear,2016,100.2
United Kingdom,CPI: 03 - Clothing and footwear,2017,102.6
United Kingdom,CPI: 03 - Clothing and footwear,2018,103.5
United Kingdom,CPI: 03 - Clothing and footwear,2019,102.6
United Kingdom,CPI: 03 - Clothing and footwear,2020,101.2
United Kingdom,CPI: 03 - Clothing and footwear,2021,101.4
United Kingdom,CPI: 03 - Clothing and footwear,2022,109.1
Germany,CPI: 01-12 - All items,2015,100.0
Germany,CPI: 01-12 - All items,2016,100.4917
Germany,CPI: 01-12 - All items,2017,102.0087
Germany,CPI: 01-12 - All items,2018,103.7756
Germany,CPI: 01-12 - All items,2019,105.2759
Germany,CPI: 01-12 - All items,2020,105.4284
Germany,CPI: 01-12 - All items,2021,108.6615
Germany,CPI: 01-12 - All items,2022,116.1294
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,100.0
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,101.6
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,103.7
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,105.7
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,107.4
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,108.4
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,110.6
United Kingdom,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,120.1
Canada,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
Canada,CPI: 01 - Food and non-Alcoholic beverages,2016,101.0152
Canada,CPI: 01 - Food and non-Alcoholic beverages,2017,99.99409
Canada,CPI: 01 - Food and non-Alcoholic beverages,2018,100.8027
Canada,CPI: 01 - Food and non-Alcoholic beverages,2019,104.5092
Canada,CPI: 01 - Food and non-Alcoholic beverages,2020,107.0176
Canada,CPI: 01 - Food and non-Alcoholic beverages,2021,109.3667
Canada,CPI: 01 - Food and non-Alcoholic beverages,2022,120.0437
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,99.97092
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,101.4833
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,102.1333
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,105.0917
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,107.4417
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,109.475
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,109.8583
Italy,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,111.2583
United States,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
United States,CPI: 01 - Food and non-Alcoholic beverages,2016,98.67465
United States,CPI: 01 - Food and non-Alcoholic beverages,2017,98.47515
United States,CPI: 01 - Food and non-Alcoholic beverages,2018,98.92377
United States,CPI: 01 - Food and non-Alcoholic beverages,2019,99.79937
United States,CPI: 01 - Food and non-Alcoholic beverages,2020,103.2974
United States,CPI: 01 - Food and non-Alcoholic beverages,2021,106.8809
United States,CPI: 01 - Food and non-Alcoholic beverages,2022,119.1069
Italy,CPI: 01-12 - All items,2015,99.96899
Italy,CPI: 01-12 - All items,2016,99.875
Italy,CPI: 01-12 - All items,2017,101.1
Italy,CPI: 01-12 - All items,2018,102.25
Italy,CPI: 01-12 - All items,2019,102.875
Italy,CPI: 01-12 - All items,2020,102.7333
Italy,CPI: 01-12 - All items,2021,104.6583
Italy,CPI: 01-12 - All items,2022,113.2417
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,100.0
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,102.2417
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,104.725
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,108.0167
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,110.7333
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,112.8974
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,116.9154
Germany,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,121.7802
Canada,CPI: 01-12 - All items,2015,100.0
Canada,CPI: 01-12 - All items,2016,101.4288
Canada,CPI: 01-12 - All items,2017,103.0485
Canada,CPI: 01-12 - All items,2018,105.3858
Canada,CPI: 01-12 - All items,2019,107.4401
Canada,CPI: 01-12 - All items,2020,108.2104
Canada,CPI: 01-12 - All items,2021,111.8844
Canada,CPI: 01-12 - All items,2022,119.4957
Germany,CPI: 09 - Recreation and culture,2015,100.0
Germany,CPI: 09 - Recreation and culture,2016,100.65
Germany,CPI: 09 - Recreation and culture,2017,102.0917
Germany,CPI: 09 - Recreation and culture,2018,103.4167
Germany,CPI: 09 - Recreation and culture,2019,104.025
Germany,CPI: 09 - Recreation and culture,2020,99.19686
Germany,CPI: 09 - Recreation and culture,2021,102.0235
Germany,CPI: 09 - Recreation and culture,2022,106.9825
Italy,CPI: 09 - Recreation and culture,2015,99.99181
Italy,CPI: 09 - Recreation and culture,2016,100.55
Italy,CPI: 09 - Recreation and culture,2017,100.9083
Italy,CPI: 09 - Recreation and culture,2018,101.3083
Italy,CPI: 09 - Recreation and culture,2019,101.2083
Italy,CPI: 09 - Recreation and culture,2020,101.0167
Italy,CPI: 09 - Recreation and culture,2021,101.4417
Italy,CPI: 09 - Recreation and culture,2022,102.85
United Kingdom,CPI: 08 - Communication,2015,100.0
United Kingdom,CPI: 08 - Communication,2016,102.7
United Kingdom,CPI: 08 - Communication,2017,104.6
United Kingdom,CPI: 08 - Communication,2018,105.7
United Kingdom,CPI: 08 - Communication,2019,109.8
United Kingdom,CPI: 08 - Communication,2020,114.1
United Kingdom,CPI: 08 - Communication,2021,116.1
United Kingdom,CPI: 08 - Communication,2022,118.8
France,CPI: 09 - Recreation and culture,2015,100.0008
France,CPI: 09 - Recreation and culture,2016,101.0058
France,CPI: 09 - Recreation and culture,2017,101.2808
France,CPI: 09 - Recreation and culture,2018,102.0583
France,CPI: 09 - Recreation and culture,2019,102.575
France,CPI: 09 - Recreation and culture,2020,103.2867
France,CPI: 09 - Recreation and culture,2021,104.4167
France,CPI: 09 - Recreation and culture,2022,106.27
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2015,100.0
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2016,98.83524
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2017,97.94495
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2018,98.48214
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2019,100.2036
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2020,101.9548
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2021,106.446
United States,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2022,116.1963
Germany,CPI: 06 - Health,2015,100.0
Germany,CPI: 06 - Health,2016,101.1249
Germany,CPI: 06 - Health,2017,102.4915
Germany,CPI: 06 - Health,2018,103.433
Germany,CPI: 06 - Health,2019,104.4746
Germany,CPI: 06 - Health,2020,105.8203
Germany,CPI: 06 - Health,2021,106.3847
Germany,CPI: 06 - Health,2022,107.7515
United States,CPI: 06 - Health,2015,100.0
United States,CPI: 06 - Health,2016,103.4498
United States,CPI: 06 - Health,2017,106.2042
United States,CPI: 06 - Health,2018,108.4251
United States,CPI: 06 - Health,2019,109.6839
United States,CPI: 06 - Health,2020,112.2142
United States,CPI: 06 - Health,2021,114.5329
United States,CPI: 06 - Health,2022,117.8755
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2015,100.0
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2016,100.6251
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2017,101.0751
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2018,101.7835
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2019,102.5835
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2020,102.7946
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2021,105.5958
Germany,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2022,113.6223
United States,CPI: 08 - Communication,2015,100.0
United States,CPI: 08 - Communication,2016,99.44937
United States,CPI: 08 - Communication,2017,93.99646
United States,CPI: 08 - Communication,2018,92.80721
United States,CPI: 08 - Communication,2019,92.30922
United States,CPI: 08 - Communication,2020,94.48962
United States,CPI: 08 - Communication,2021,96.20653
United States,CPI: 08 - Communication,2022,95.79279
United Kingdom,CPI: 09 - Recreation and culture,2015,100.0
United Kingdom,CPI: 09 - Recreation and culture,2016,100.5
United Kingdom,CPI: 09 - Recreation and culture,2017,102.5
United Kingdom,CPI: 09 - Recreation and culture,2018,105.6
United Kingdom,CPI: 09 - Recreation and culture,2019,107.6
United Kingdom,CPI: 09 - Recreation and culture,2020,109.8
United Kingdom,CPI: 09 - Recreation and culture,2021,112.2
United Kingdom,CPI: 09 - Recreation and culture,2022,117.8
France,CPI: 08 - Communication,2015,100.0
France,CPI: 08 - Communication,2016,100.7092
France,CPI: 08 - Communication,2017,96.48666
France,CPI: 08 - Communication,2018,94.525
France,CPI: 08 - Communication,2019,92.06167
France,CPI: 08 - Communication,2020,91.96333
France,CPI: 08 - Communication,2021,93.85333
France,CPI: 08 - Communication,2022,93.96416
Germany,CPI: 07 - Transport,2015,100.0
Germany,CPI: 07 - Transport,2016,99.05008
Germany,CPI: 07 - Transport,2017,101.8498
Germany,CPI: 07 - Transport,2018,105.1412
Germany,CPI: 07 - Transport,2019,106.4578
Germany,CPI: 07 - Transport,2020,104.2715
Germany,CPI: 07 - Transport,2021,112.2482
Germany,CPI: 07 - Transport,2022,125.0997
Italy,CPI: 06 - Health,2015,100.0246
Italy,CPI: 06 - Health,2016,100.35
Italy,CPI: 06 - Health,2017,100.5667
Italy,CPI: 06 - Health,2018,100.5167
Italy,CPI: 06 - Health,2019,101.0417
Italy,CPI: 06 - Health,2020,101.7083
Italy,CPI: 06 - Health,2021,102.675
Italy,CPI: 06 - Health,2022,103.475
United States,CPI: 09 - Recreation and culture,2015,100.0
United States,CPI: 09 - Recreation and culture,2016,100.3683
United States,CPI: 09 - Recreation and culture,2017,101.1956
United States,CPI: 09 - Recreation and culture,2018,101.2277
United States,CPI: 09 - Recreation and culture,2019,102.0337
United States,CPI: 09 - Recreation and culture,2020,103.1669
United States,CPI: 09 - Recreation and culture,2021,105.8519
United States,CPI: 09 - Recreation and culture,2022,110.7565
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2015,99.9608
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2016,100.2833
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2017,100.2917
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2018,100.45
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2019,100.5333
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2020,101.1667
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2021,102.1167
Italy,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2022,107.4417
United Kingdom,CPI: 06 - Health,2015,100.0
United Kingdom,CPI: 06 - Health,2016,102.2
United Kingdom,CPI: 06 - Health,2017,104.7
United Kingdom,CPI: 06 - Health,2018,107.3
United Kingdom,CPI: 06 - Health,2019,110.1
United Kingdom,CPI: 06 - Health,2020,112.6
United Kingdom,CPI: 06 - Health,2021,114.1
United Kingdom,CPI: 06 - Health,2022,117.4
Italy,CPI: 07 - Transport,2015,99.98513
Italy,CPI: 07 - Transport,2016,98.59167
Italy,CPI: 07 - Transport,2017,102.0
Italy,CPI: 07 - Transport,2018,104.825
Italy,CPI: 07 - Transport,2019,105.6417
Italy,CPI: 07 - Transport,2020,103.2167
